Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Arıza, Link",Ozan Aksungur (1-14)Cüneyt Aysan (2-14)Oğuz Ayaz (2-14)Yılmaz Şahin (15-27)Çağla Kızılelma (15-27)Alphan Dikmen (28-30)Başak Angigün (28-30),Recai Karagöz,Tolga SarıtaşAyça Ayşin TuranAhmet Mümtaz Taylan,Türkiye,Show TV,Sona erdi,"Arıza, O3 Medya  imzalı, ilk bölümü 13 Eylül 2020 tarihinde yayınlanan, yönetmenliğini Recai Karagöz'ün yaptığı, senaryosunu ise Yılmaz Şahin ve Çağla Kızılelma’nın kaleme aldığı Türk yapımı aksiyon ve dram türündeki televizyon dizisidir.[1] Dizi, 11 Nisan 2021 tarihinde yayınlanan 30. bölümüyle final yaparak sona erdi.",1,30,Saner Ayar,13 Eylül 2020 - 11 Nisan 2021,,
"Aşk 101, Link",Meriç Acemi,Ahmet Katıksız,Mert Yazıcıoğlu,Türkiye,,Sona erdi,"Aşk 101, ilk sezonu 24 Nisan 2020'de Netflix platformunda yayımlanan, senaryosu Meriç Acemi tarafından kaleme alınan, yönetmenliğini Ahmet Katıksız, Deniz Yorulmazer, Umut Aral ve Gönenç Uyanık'ın birlikte yaptığı gençlik, komedi, romantik ve dram türündeki Türk yapımı internet dizisi.[1] 2 sezondan oluşan dizi, 30 Eylül 2021 tarihinde yayımlanan 16. bölümü ile final yaparak sona erdi.",2,16,Kerem Çatay,24 Nisan 2020 (2020-04-24) - 30 Eylül 2021 (2021-09-30),Netflix,
"İyi Aile Babası, Link",Erdal Şahin (1-4) Birol Güven (5-8),Hakan Algül,Çağlar ÇorumluŞebnem BozokluMelek BaykalSalih KalyonTimur Acar,Türkiye,Kanal D,Sona erdi,"Babam Çok Değişti (eski adıyla İyi Aile Babası), Süreç Film imzalı, ilk bölümü 3 Aralık 2020 tarihinde yayımlanan, yönetmenliğini Hakan Algül'ün yaptığı, Birol Güven tarafından kaleme alınan komedi türündeki Türk yapımı televizyon dizisi.[1] Reytinglerinin düşük olması sebebiyle 28 Ocak 2021 tarihinde 8. bölümüyle final yaparak yayın hayatına son vermiştir.[2]",1,8,Ali Gündoğduİsmail Gündoğdu,3 Aralık 2020 - 28 Ocak 2021,,
"Babil, Link",Nükhet BıçakçıÖzlem Yücel,Uluç Bayraktar,Halit ErgençOzan GüvenAslı EnverBirce AkalayNur FettahoğluMesut AkustaOnur Saylak,Türkiye,Star TV,Sona erdi,"Babil, Ay Yapım imzalı, ilk bölümü 17 Ocak 2020 tarihinde yayımlanan, yönetmenliğini Uluç Bayraktar'ın yaptığı, senaryosunu Nükhet Bıçakçı ve Özlem Yücel'in birlikte kaleme aldıkları Türk yapımı psikolojik gerilim türündeki televizyon dizisi.[1] Dizi, 20 Kasım 2020 tarihinde 20. bölümüyle final yaparak sona erdi.[2]",2,20 (bölümleri listesi),Kerem Çatay,17 Ocak 2020 - 20 Kasım 2020,,
"Baraj, Link",Hasan Tolga Pusat,Hasan Tolga Pusat,Feyyaz DumanBiran Damla YılmazBurak Yörük,Türkiye,FOX,Sona erdi,"Baraj, Medyapım ve No Dokuz Productions imzalı, ilk bölümü 17 Mart 2020 tarihinde yayımlanan, yönetmenliğini ve senaryosunu Hasan Tolga Pusat'ın üstlendiği, Türk yapımı dram türündeki televizyon dizisidir. 1977 yapımı Baraj filminin dizi versiyonudur.[1][2] Dizi, 11 Mayıs 2021 tarihinde yayımlanan 39. bölümü ile final yaparak sona ermiştir.",1,39,Fatih AksoyYağmur Ünal,17 Mart 2020 - 11 Mayıs 2021,,
"Bay Yanlış, Link",Aslı ZenginBanu Zengin Tak,Deniz Yorulmazer,Can YamanÖzge Gürel,Türkiye,FOX,Sona erdi,"Bay Yanlış, Gold Film imzalı, ilk bölümü 26 Haziran 2020 tarihinde yayımlanan, yönetmenliğini Deniz Yorulmazer'in yaptığı, senaryosu Aslı Zengin ve Banu Zengin ikilisi tarafından kaleme alınan, başrollerini Can Yaman ve Özge Gürel'in paylaştığı  Türk yapımı romantik komedi türündeki televizyon dizisidir.[1] Dizi, 2 Ekim 2020 tarihinde yayımlanan 14. bölümüyle final yaparak sona erdi.",1,14,Faruk Turgut,26 Haziran 2020 - 2 Ekim 2020,,
"Bir Annenin Günahı, Link",Ahmet Yurdakul,Filiz Pakman,Özge ÖzberkMusa UzunlarEmre KınayMert YazıcıoğluSimay BarlasPamir Pekin,Türkiye,Kanal D,Yayından kaldırıldı,"Bir Annenin Günahı, Limon Film imzalı, ilk bölümü 21 Kasım 2020 tarihinde yayımlanan, yönetmenliğini Filiz Pakman'ın yaptığı, senaryosunu Ahmet Yurdakul'un kaleme aldığı dram türündeki Türk yapımı televizyon dizisi.[1] Filipinler yapımı Hanggang Saan dizisinden uyarlanmıştır.[2] Dizi, düşük reytingler nedeniyle 19 Aralık 2020 tarihinde ekrana gelen 5. bölümü ile final yapamadan yayından kaldırılmıştır.",1,5,Hayri Aslan,21 Kasım 2020 - 19 Aralık 2020,,
"Bir Başkadır, Link",Berkun Oya,Berkun Oya,Öykü Karayel  Fatih Artman  Funda Eryiğit  Defne Kayalar  Tülin Özen,Türkiye,,Sona erdi,"Bir Başkadır, Netflix'te 12 Kasım 2020'de gösterime giren, Berkun Oya'nın yazıp yönettiği dram ve gerilim türündeki Türk yapımı internet dizisidir.",1,8,Ali Ferhunde  Nisan Ceren Göçen,12 Kasım 2020 - 12 Kasım 2020,Netflix,
"Çatı Katı Aşk, Link",Saygın Delibaş (1-4)Fethi Kantarcı (1-4)Ramazan Demirli (5-16)Gökhan Temel (9-16)Özgür Ağaoğlu (9-16)Şeyda Delibaşı (9-16),Barış Yöş (1-3)Fehmi Öztürk (3-8)Şenol Sönmez (8-16),Furkan AndıçEzgi ŞenlerSelin ŞekerciNilay DenizYiğit Kirazcı,Türkiye,Kanal D,Sona erdi,"Çatı Katı Aşk, Mia Yapım imzalı, ilk bölümü 9 Temmuz 2020 tarihinde yayımlanan, romantik komedi türündeki Türk yapımı televizyon dizisi.[1] Dizi, 24 Ekim 2020 tarihinde yayımlanan 16. bölümü ile final yaparak sona ermiştir.",1,16,Banu Akdeniz,9 Temmuz 2020 - 24 Ekim 2020,,
"Çıplak, Link",Can EvrenolMerve Göntem,Can Evrenol,Müge BayramoğluMert Ramazan DemirBora Cengiz,Türkiye,,Sezon arası,"Çıplak, TN Yapım imzalı, yönetmenliğini Can Evrenol'un üstlendiği senaryosunu Can Evrenol ve Merve Göntem'in beraber yazdığı, başrollerini Müge Bayramoğlu, Mert Ramazan Demir, Taro Emir Tekin, İpek Erdem, Umut Kurt, ve Bora Cengiz'in paylaştığı dram ve romantik türdeki Türk yapımı internet dizisidir. Dizinin 1. sezonu BluTV üzerinden 11 Haziran 2020 tarihinden itibaren 8 bölüm, 2. sezonu ise 9 Haziran 2021 tarihinden itibaren 9 bölüm olarak yayınlanmıştır.",2,17,Tanay Abbasoğlu,11 Haziran 2020 - günümüz,BluTV,
"Çocukluk, Link",Ebru HacıoğluVeda Pars,Nadim Güç (1-6)Koray Kerimoğlu(7-11),Erdal BeşikçioğluBeren GökyıldızBurcu Özberk,Türkiye,FOX,Sona erdi,"Çocukluk, Medyapım ve MF Yapım imzalı, ilk bölümü 9 Ekim 2020 tarihinde yayımlanan, yönetmenliğini 6 bölüm Nadim Güç ve 7. bölümden itibaren Koray Kerimoğlu'nun yaptığı, Ebru Hacıoğlu ile Verda Pars ikilisinin senaryosunu kaleme aldığı dram türündeki Türk televizyon dizisi.[1] Dizi, 25 Aralık 2020 tarihinde yayımlanan 11. bölümü ile final yaparak sona erdi.[2]",1,11,Fatih AksoyFaruk Bayhan,9 Ekim 2020 - 25 Aralık 2020,,
"Emanet, Link",Başak Yazı Odası,Ayhan ÖzenSerkan MutOğuzcan DenizhanNuh Şen,Halil İbrahim Ceyhan(1-621),Türkiye,Kanal 7 YouTube TV (Dijital),Devam ediyor,"Emanet, Karamel Yapım imzalı, ilk bölümü 7 Eylül 2020 tarihinde yayımlanan, dram ve romantik türdeki Türk televizyon dizisi.[1]",4,651,Nazmiye Yılmaz,7 Eylül 2020 - günümüz,,
"Ev Yapımı, Link",Birol Güven,Birol Güven,Rasim ÖztekinÖzlem TürkadAyşe TolgaŞoray UzunYasemin ÇonkaBerat YenilmezBegüm ÖnerCeyhun Fersoy,Türkiye,TRT 1,Sona erdi,"Ev Yapımı, MinT Yapım imzalı, ilk bölümü 9 Nisan 2020 tarihinde yayımlanan, Yapımcılığını, senaristliğini ve yönetmeliğini Birol Güven'in yaptığı komedi türündeki Türk yapımı televizyon dizisi. Dizi, TRT 1'de yayınlanan Seksenler dizisinin Covid-19 sebebiyle ara vermesinden dolayı Birol Güven'in fikri ile ortaya çıkmıştır. Seksenler oyuncuları kendi imkanları ile kendi gerçek hayatlarını evlerinden çekimiştir.[1] Dizi, 11 Haziran 2020 tarihinde yayınlanan 13. bölümü ile final yaparak sona erdi.",1,13,Birol Güven,9 Nisan 2020 - 11 Haziran 2020,,
"Gel Dese Aşk, Link",Rahşan Çiğdem İnanAyşe Bengi,Murat Onbul,Erkan PetekkayaŞebnem Bozokluİlayda Çevik,Türkiye,atv,Yayından kaldırıldı,"Gel Dese Aşk, Sinegraf imzalı, yapımcılığını Osman Sınav'ın, yönetmenliğini Murat Onbul'un yaptığı, senaryosunu ise Rahşan Çiğdem İnan ve Ayşe Bengi'nin birlikte kaleme aldıkları Türk yapımı dram türündeki televizyon dizisidir.[1][2][3][4] Dizinin başrollerinde Erkan Petekkaya, Şebnem Bozoklu ve İlayda Çevik yer almaktadır. Pandemi sebebiyle, sadece 4 bölüm ekrana gelerek yayından kaldırıldı.",1,4,Osman Sınav,8 Mart 2020 - 29 Mart 2020,,
"Gençliğim Eyvah, Link",Barış Başar (1-13)Ünal Yeter (1-7)Gülbike Sonay Üte (6-7)Tayfun Güneyer (8-13)Ali Alper Erze (14-17),"Deniz Yılmaz Şayir (1-17)Doğa Can Anafarta (8-9, 11-17)",Cengiz BozkurtLevent ÜlgenGünay KaracaoğluUlviye KaracaEkin Mert DaymazElif DoğanBurak TozkoparanBahar SüerErdem KaynarcaZehra YılmazKemal UçarBeyti Engin,Türkiye,atv,Sona erdi,"Gençliğim Eyvah, Süreç Film imzalı, ilk bölümü 15 Haziran 2020 tarihinde yayımlanan, aile komedi ve dram  türündeki Türk yapımı televizyon dizisi.[1] Dizi, 5 Ekim 2020 tarihinde yayımlanan 17. bölümüyle final yaparak sona erdi.",1,17,Ali Gündoğduİsmail Gündoğdu,15 Haziran 2020 - 5 Ekim 2020,,
"Gönül Dağı, Link",Ali Asaf Elmas (1-)Mustafa Becit (1-112)Teoman Gök (6-)Emel Çokçalışkan (104-),Yahya Samancı,Berk AtanCihat SüvarioğluSemih ErtürkFerdi SancarErdal CindorukEski başrollerGülsim AliEcem ÖzkayaAli Düşenkalkar,Türkiye,TRT 1,Devam ediyor,"Gönül Dağı, Köprü Film imzalı, 17 Ekim 2020 tarihinde TRT 1'de yayımlanmaya başlayan[1] aile, dram, komedi ve romantik türündeki Türk televizyon dizisidir.[2] Dizi, yazar Mustafa Çiftçi'nin bozkır hikâyelerinden esinlenerek çekilmiştir.[3] Dizinin yapımcılığını Ferhat Eşsiz üstlenmektedir. Yönetmen koltuğunda ise Yahya Samancı bulunmaktadır. Başrollerinde Berk Atan, Gülsim Ali, Cihat Süvarioğlu, Semih Ertürk, Ecem Özkaya, Ferdi Sancar, Ali Düşenkalkar ve Erdal Cindoruk yer almaktadır.",4,120 (bölümleri listesi),Ferhat Eşsiz,17 Ekim 2020 - günümüz,,
"Hizmetçiler, Link",Makbule Kosif,Metin Balekoğlu,Deniz Baysal YurtcuAlgı EkeSelen DomaçAleyna Solaker,Türkiye,Kanal D,Yayından kaldırıldı,"Hizmetçiler, Fabrika Yapım imzalı, ilk bölümü 7 Mart 2020 tarihinde yayımlanan, yönetmenliğini Metin Balekoğlu'nun yaptığı, senaryosu ise Makbule Kosif tarafından kaleme alınan dram ve entrika türündeki Türk yapımı televizyon dizisi.[1] Meksika yapımı Ellas son... la alegría del hogar dizisinden uyarlanmıştır.[2] Dizi, aldığı düşük reytingler nedeni ile 21 Mart 2020 tarihinde yayımlanan 3. bölümü ile final yapamadan yayından kaldırıldı.",1,3,Öner Arslanel,7 Mart 2020 - 21 Mart 2020,,
"İyi Günde Kötü Günde, Link",Pelin KaramehmetoğluAksel Bonfil,Metin BalekoğluBarış Erçetin,Elçin SanguOzan DolunayYasemin Allen,Türkiye,Star TV,Sona erdi,"İyi Günde Kötü Günde, O3 Medya yapımı, yönetmenliğini Metin Balekoğlu'nun yaptığı, Aksel Bonfil ve Pelin Karamehmetoğlu'nun senaryosunu birlikte kaleme aldıkları Türk yapımı romantik ve komedi türündeki televizyon dizisi.[1][2] Dizi, 17 Ekim 2020 tarihinde yayımlanan 6. bölümü ile final yaparak sona ermiştir.",1,6,Saner Ayar,12 Eylül 2020 - 17 Ekim 2020,,
"Kafa Doktoru, Link",Uğraş Güneş,Ozan Özcan,Uğraş GüneşAli Rıza TanyeliAyşe Melike ÇerçiBeyti EnginBülent Emrah ParlakCeren Taşçı,Türkiye,Vodafone TV (1. sezon),Yayımlandı,"Kafa Doktoru, BULK Creative Content imzalı, yapımcılığını ve yönetmenliği Ozan Özcan'ın üstlendiği, senaryosunu Uğraş Güneş'in yazdığı, Türk durum komedisi türündeki internet dizisidir.[1][2] İlk sezonu Vodafone TV'de yayımlanmıştır.[3][4]",1,9,Ozan Özcan,22 Şubat 2020 - 18 Nisan 2020,,Atakan Ilgazdağ
"Kefaret, Link",Mahinur Ergun,Mesude Erarslan,Nurgül YeşilçayMert FıratYurdaer Okur,Türkiye,FOX,Sona erdi,"Kefaret, 25 Film imzalı, ilk bölümü 22 Kasım 2020 tarihinde yayımlanan, yönetmenliğini Mesude Erarslan'ın yaptığı, senaryosunu  Mahinur Ergun'un kaleme aldığı, başrollerini Nurgül Yeşilçay, Mert Fırat ve Yurdaer Okur’un paylaştığı dram türündeki Türk yapımı televizyon dizisi.[1] Zülfü Livaneli'nin Konstantiniyye Oteli romanından uyarlanmıştır. Dizi, 29 Temmuz 2021 tarihinde yayımlanan 35. bölümü ile final yaparak sona erdi.",1,35,Fırat Parlak  Koray Şahin,22 Kasım 2020 - 29 Temmuz 2021,,
"Kırmızı Oda, Link",Banu Kiremitçi Bozkurt (1-42)Verda Pars (20-21)Deniz Gürlek (43-61)Melek Seven (43-55)Ayşenur Güngör (43)Pınar Daldikler (43)Mehmet Barış Günger (53-61),Cem Karcı (1-32)Benal Tairi (29-42)Ali Balcı (34-42)Başak Soysal (43-61),Binnur KayaTülin ÖzenMeriç AralBurak SevinçGülçin Kültür Şahin,Türkiye,TV8,Sona erdi,"Kırmızı Oda, Onur Güvenatam'ın yapımcılığını ve Deniz Gürlek & Melek Seven'in senaryosunu üstlendiği psikolojik drama türündeki Türk televizyon dizisi.[4] Gülseren Budayıcıoğlu'nun 2004 yılında yayımlanan Madalyonun İçi adlı kitabından uyarlanan dizi, 4 Eylül 2020 tarihinde TV8'de yayımlanmaya başladı.[5] 2 sezondan oluşan dizi, 18 Şubat 2022 tarihinde yayımlanan 61. bölümü ile final yaparak sona ermiştir.",2,61 (bölümleri listesi),Onur Güvenatam,4 Eylül 2020 - 18 Şubat 2022,,
"Maria ile Mustafa, Link",Birol Elginöz,Faruk Teber,Jessica MayHilmi Cem İntepeTamer Levent,Türkiye,atv (HD),Sona erdi,"Maria ile Mustafa, NTC Medya imzalı, ilk bölümü 6 Eylül 2020 tarihinde yayımlanan, yönetmen koltuğuna Faruk Teber'in oturduğu, senaryosunu Birol Elginöz'ün kaleme aldığı, romantik ve dram türündeki, Türk yapımı televizyon dizisi.[1] Dizi, 27 Aralık 2020 tarihinde yayımlanan 17. bölümü ile final yaparak sona erdi.",1,17,Mehmet Yiğit Alp,6 Eylül 2020 - 27 Aralık 2020,,
"Masumlar Apartmanı, Link",Deniz Madanoğlu (1-71)Rana Mamatlıoğlu (3-71),Çağrı Vila Lostuvalı (1-71)Ender Mıhlar (7-9)Çiğdem Bozali (10-71),Ezgi MolaFarah Zeynep AbdullahBirkan SokulluMerve DizdarMelisa ŞenolsunAslıhan Gürbüz,Türkiye,TRT 1,Sona erdi,"Masumlar Apartmanı, yapımcılığını OGM Pictures'ın ve senaristliğini Deniz Madanoğlu ile Rana Mamatlıoğlu'nun üstlendiği, psikoloji ve dram türündeki Türk televizyon dizisidir. Başrollerini; Ezgi Mola, Birkan Sokullu, Merve Dizdar ve Aslıhan Gürbüz paylaşmaktadır. Dizi, 15 Eylül 2020 tarihinde TRT 1'de yayımlanmaya başladı. Dizinin yönetmen koltuğunda Çağrı Vila Lostuvalı ve Çiğdem Bozali oturmaktadır.[1] Onur Güvenatam tarafından yaratılan dizi İstanbul'da aynı evde yaşayan dört kardeşin psikolojik durumunu ve etraflarındaki hayatı konu alır. Dizi, Gülseren Budayıcıoğlu'nun 2004 yılında yayımlanan Madalyonun İçi romanının ""Çöp Apartman"" bölümünden uyarlanmıştır.[2] 2 sezondan oluşan dizi, 24 Mayıs 2022 tarihinde yayımlanan 71. bölümü ile final yaparak sona erdi.",2,71 (bölümleri listesi),Onur Güvenatam,15 Eylül 2020 - 24 Mayıs 2022,,
"Menajerimi Ara, Link",Yelda Eroğlu (1-7)Yeşim Çıtak (1-7)Emine Yıldırım (3-7)Ekin Atalar (8-34)Sema Ergenekon (35-41)Uğraş Güneş (35-45),Ali Bilgin (1-9)Deniz Çelebi Dikilitaş (10-45),Barış FalayCanan ErgüderFatih ArtmanSerhat TeomanAhsen EroğluDeniz Can AktaşAyşenil ŞamlıoğluÖzge Borak,Türkiye,Star TV,Sona erdi,"Menajerimi Ara, Ay Yapım imzalı, yönetmenliğini Deniz Çelebi Dikilitaş'ın yaptığı, ilk bölümü 25 Ağustos 2020 tarihinde yayımlanan, senaryosu Uğraş Güneş ve Volkan Yazıcı tarafından kaleme alınan, Türk yapımı, drama ve komedi türündeki televizyon dizisi.[1] Drama ve komediyi harmanlayan dizi, prestijli bir yetenek ajansında dört menajerin asistanlarıyla birlikte yaşadıklarını merkeze alıyor.[2] Her bölümle birlikte sinema ve dizi sektöründen oyuncular konuk olarak diziye katılır ve kendilerini oynarlar.[3] Fransız yapımı Dix pour cent dizisinden uyarlanmıştır.[4] 1 sezondan oluşan dizi, 11 Temmuz 2021 tarihinde yayımlanan 45. bölümü ile final yaparak sona ermiştir.",1,45 (bölümleri listesi),Kerem Çatay,25 Ağustos 2020 - 11 Temmuz 2021,,Uğur AteşSaki Çimen
"Öğretmen, Link",Merve Girgin,Koray Kerimoğlu,İlker KaleliCeren MorayAfra SaraçoğluSerhat KılıçSerkan KeskinŞerif Erol,Türkiye,FOX,Sona erdi,"Öğretmen, Medyapım ve MF Yapım imzalı, ilk bölümü 4 Mart 2020 tarihinde yayımlanan, yönetmen koltuğuna Koray Kerimoğlu'nun oturduğu, senaryosunu Merve Girgin'in kaleme aldığı Türk yapımı gençlik, psikolojik gerilim ve dram türündeki Türk televizyon dizisi.[1] Japonya yapımı Mr. Hiiragi's Homeroom dizisinden uyarlanmıştır.[2][3] Dizi, 15 Kasım 2020 tarihinde yayımlanan 9. bölümüyle final yaparak sona ermiştir.[4]",1,9,Faruk BayhanFatih Aksoy,4 Mart 2020 - 15 Kasım 2020,,Sertaç Özgümüş
"Ramo, Link",Yılmaz Şahin (1-11)Toprak Karaoğlu (12-38)Seda Karaoğlu (12-38)Deniz Karaoğlu (14-38)Birol Tezcan (1-11/12-38)Esen Ali Bilen (36-40),Yağız Alp Akaydın (1-11)Çağatay Tosun(12-40),Murat YıldırımEsra Bilgiçİlker AksumMehmet Yılmaz AkOlgun ŞimşekYiğit Özşener,Türkiye,Show TV,Sona erdi,"Ramo, BKM imzalı, ilk bölümü 14 Ocak 2020 tarihinde yayımlanan, yönetmenliğini Çağatay Tosun'un üstlendiği, senaryosu Toprak Karaoğlu, Seda Karaoğlu ve Birol Tezcan üçlüsü tarafından yazılan aksiyon ve dram türündeki Türk yapımı televizyon dizisi.[1] Dizinin başrol oyuncusu Murat Yıldırım'ın canlandırdığı Ramo, gerçek bir karakterden kurgulanmıştır. 2 sezondan oluşan dizi, 16 Nisan 2021 tarihinde yayımlanan 40. bölümüyle final yaparak sona erdi.[2]",2,40 (bölümleri listesi),Necati Akpınar,14 Ocak 2020 - 16 Nisan 2021,,
Rise of Empires,Kelly McPherson,Emre Şahin,1. sezon,Türkiye,,Sezon arası,,2,12,Kelly McPhersonEmre ŞahinSarah Wetherbee,24 Ocak 2020 (2020-01-24) - günümüz,Netflix,
"Sadakatsiz, Link",Kemal Hamamcıoğlu (1-31)Dilara Pamuk (1-31)Arzu Daştan Mutlu (32-42)Mustafa Mutlu (32-42)Gamze Arslan (32-42)Nuriye Bilici (32-42)Arzu Yurtseven (43-60)Elif Öner (43-60)Kubilay Kara (43-60)İrem Pelin Sönmezer (43-60),Neslihan Yeşilyurt(1-60)Benal Tairi (5-18),Cansu DereCaner CindorukMelis SezenBerkay Ateş,Türkiye,Kanal D,Sona erdi,"Sadakatsiz, Medyapım ile Mednova imzalı, ilk bölümü 7 Ekim 2020 tarihinde yayımlanan, yönetmenliğini Neslihan Yeşilyurt'un üstlendiği, senaryosu ilk sezon Kemal Hamamcıoğlu ve Dilara Pamuk ikilisi, 2. sezondan itibaren ise  Arzu Daştan Mutlu, Mustafa Mutlu, Gamze Arslan ve Nuriye Bilici dörtlüsü tarafından kaleme alınan, dram ve psikolojik gerilim türündeki Türk yapımı televizyon dizisidir.[1] İngiliz yapımı Doctor Foster dizisinden uyarlanmıştır.[2]",2,60 (bölümleri listesi),Fatih Aksoy,7 Ekim 2020 - 25 Mayıs 2022,,
Saygı,Ercan Mehmet Erdem,Ali Taner Baltacı (1. sezon)Ender Mıhlar(2. sezon),Nejat İşlerMiray DanerBoran Kuzum,Türkiye,,Yayınlandı,"Saygı, ilk bölümü 27 Ekim 2020 tarihinde yayınlanan, yapımcılığını BluTV ve Inter Medya'nın yaptığı, birinci sezonun yönetmen koltuğuna Ali Taner Baltacı'nın, ikinci sezonun yönetmen koltuğunda ise Ender Mıhlar’ın oturduğu, senaryosunu Ercan Mehmet Erdem'in kaleme aldığı polisiye, suç ve dram türündeki Türk yapımı internet dizisi. Behzat Ç. Bir Ankara Polisiyesi'nin spin-off'udur.[1][2]  Başrollerde Nejat İşler, Miray Daner ve Boran Kuzum yer almıştır.[3]",2,16,,27 Ekim 2020 - 11 Kasım 2021,BluTV,
"Sen Çal Kapımı, Link",Ayşe Üner Kutlu (1-52)Deniz Gürlek (40-52)Melek Seven (40-52),Ender Mıhlar (1)Yusuf Pirhasan (1)Altan Dönmez (2-52),Hande ErçelKerem Bürsin,Türkiye,FOX,Sona erdi,"Sen Çal Kapımı, MF Yapım imzalı, ilk bölümü 8 Temmuz 2020 tarihinde yayımlanan, yönetmen koltuğuna 1. bölümü Ender Mıhlar ve Yusuf Pirhasan ve 2. bölümden itibaren Altan Dönmez’in oturduğu ve hikayesini Ayşe Üner Kutlu’nun ait olduğu, duygusal ve romantik komedi türündeki, Türk yapımı televizyon dizisi.[1] Dizinin başrollerini, Hande Erçel ve Kerem Bürsin paylaşmaktadır. 2 sezondan oluşan dizi, 8 Eylül 2021 tarihinde yayımlanan 52. bölümü ile final yaparak sona erdi.",2,52 (bölümleri listesi),Asena Bülbüloğlu,8 Temmuz 2020 - 8 Eylül 2021,,
"Sokağın Çocukları, Link",??_?//01?,"Kadri Beran Taşkın (1, 2, 3 ve 6.sezon)Felat Atan (4 ve 5.sezon)",Furkan Murat UğurOnur AkbayHakan ErkuranVolkan ÖlçenKerem Ali YengünerBurak ŞahinBurak Akyüz,Türkiye,,Sezon arası,"Sokağın Çocukları, Kadri Beran Taşkın ve Felat Atan'ın yönettiği [1] ve 6 Şubat 2020 tarihinde BluTV'de yayımlanmaya başlayan Türk yapımı dram, aksiyon, polisiye ve suç türündeki internet dizisidir.",6,46,??_?//01?,6 Şubat 2020 (2020-02-06),BluTV,Esat Bargun
"Sol Yanım, Link",Melis Civelek,Serdar Gözelekli,Özge YağızTolga MendiCemre BayselEmre BeyDefne SamyeliCansel Elçin,Türkiye,Star TV,Sona erdi,"Sol Yanım, BKM imzalı, ilk bölümü 26 Kasım 2020 tarihinde yayımlanan, yönetmenliğini Serdar Gözelekli’nin üstlendiği, senaryosunu ise  Melis Civelek'in kaleme aldığı, dram türündeki Türk yapımı televizyon dizisi. Dizi, 17 Şubat 2021 tarihinde yayımlanan 12. bölümü ile final yaparak sona erdi.[1]",1,12,Necati Akpınar,26 Kasım 2020 - 17 Şubat 2021,,
"Şaşkın Bakkal 216, Link",Önder Açıkbaş,Bedran Güzel,Önder AçıkbaşZihni GöktayZuhal YalçınLevent AkkökCeylan Yılmazİsa TelciAyça BildikMustafa ÇelikBuse NarcıGülten ÇelikYaşar Mahmutoğlu,Türkiye,TV8 (HDTV),Sona erdi,"Şaşkın Bakkal 216, 2020 yılında TV8'de yayımlanan komedi türündeki Türk televizyon dizisidir. Dizi, 3. bölümü ile ekranlara veda etti.",1,3 (bölümleri listesi),Acun Ilıcalı,25 Ocak 2020 - 8 Şubat 2020,,
"Şeref Sözü, Link",Eda Tezcan,Cevdet Mercan,Tolgahan SayışmanSude Güler,Türkiye,Show TV,Sona erdi,"Şeref Sözü, TIMS&B Productions imzalı, ilk bölümü 14 Ekim 2020 tarihinde yayımlanan, yönetmenliğini Cevdet Mercan'ın yaptığı, Eda Tezcan'ın senaryosunu kaleme aldığı Türk yapımı aksiyon ve dram türündeki televizyon dizisidir.[1][2] Dizi, 4 Kasım 2020 tarihinde yayımlanan 4. bölümü ile final yaparak sona erdi.",1,4,Burak Sağyaşar,14 Ekim 2020 - 4 Kasım 2020,,
"Tövbeler Olsun, Link",Hasan Kaçan  Hakan Haksun  Enver Sülük  Ekin Deren Şekerciler  Pervin Bozan  Hüseyin Kaçan,Serdar Akar (1-11)  Şafak Bal (12-32),Güven Kıraç İpek Tuzcuoğlu  Erkan Can,Türkiye,TRT 1,Sona erdi,"Tövbeler Olsun, Milim Sanat imzalı, yönetmenliğini Serdar Akar'ın, senaristliğini ise Hasan Kaçan'ın yaptığı, 9 Ağustos 2020 tarihinde[1] TRT 1'de yayımlanmaya başlayan aile ve durum komedisi türündeki Türk televizyon dizisidir. Dizi, 25 Mart 2021 tarihinde yayımlanan 32. bölümü ile final yaparak sona erdi.[2]",1,32,Mustafa Fener,9 Ağustos 2020 (2020-08-09) - 25 Mart 2021,,Mazhar Alanson  Turhan Yükseler  Cengiz Atasoy
"Tutunamayanlar, Link",Osman Nail DoğanMustafa Karataş (1-13)Doğu Demirkol (1-13)Çağlar Yurt (1-5)Gökhan Özcan (6-19)Kaan Burak Şen (6-19)Kamuran Süner (6-7)Furkan Özçoban (14-19),Murad ZaloğluOsman Nail Doğan,Doğu DemirkolEce ÇeşmioğluZafer AlgözBarış YıldızBora Akkaş,Türkiye,TRT 1,Sona erdi,"Tutunamayanlar, İstanbul Medya Akademisi ve Neden Film imzalı, ilk bölümü 7 Ocak 2020 tarihinde yayımlanan absürt komedi türündeki Türk yapımı televizyon dizisi.[1][2] Dizi, 2 Haziran 2020 tarihinde yayımlanan 19. bölümü ile final yapmıştır.",1,19 (bölümleri listesi),Ahmet Tarık GüvenOgün Şanlıer,7 Ocak 2020 - 2 Haziran 2020,,Tolga Çebi
